tweet,label
هالاسبوع متت من كثر المشاكل والهواش ...  كتير والناس تستفزني,anger
"نوف  و تركت تويتر و راحت، و  لان دائرة احبابي كل مالها و تصغر 💔",sad
  من الدنيا إذا غبتي..,fear
"<USER> ﻷ وبكل قوة كمان،   ما يوافق يجيلنا",fear
<USER>  يابني  اسمعها بس لمجرد ماشفت اللوك اللي هيا مهبباه دا 😕😂😂,disgust
انا مش معترضه .. بس  ليه!!,surprise
اللهم اسعد من احب فبسعادتهم  🌹☺️❤️😍 <URL>,happy
<USER> <USER> <USER>   يعملي بلوك وبطل اضحك عليه هههههههههههههههههههههههههههه,fear
"""RT <USER> تامر امين :   نتعود على """"الإرهاب"""" <URL>""",fear
بالمختصر المفيد :  بكبريائي.,disgust
"  وحزني اشكال وانواع  طفران ووجيه الطفارى عبوسه PIN:2BBBD5D1  يارب ، انا عبدك ولاني بـ طماع  رضاك ، واثنين مليار ، وعروسه",sad
والله ياحلوين   الي بيحب يسالني يسال اي شي بيخطر على بالوو والي ما بيحب فياريت يجاوب على... — امممممممم اوك <URL>,disgust
<USER> <USER> <USER> والله   نختم في ابو زعبل,fear
يالله شقد  اليوم 😴💕.,happy
انا ممكن اكون زهقان بس مش   من حياتي زي ناس كتير,disgust
RT <USER> <USER> <USER> بصراحه  جدا لما الخرفان يوصلوا  لصوت مصر  الحكايه بقت ع  المكشوف الخرفان عايزين يكم…,sad
" جداً , لا حقيقي يعني..",sad
"RT <USER> انت وينك ! بترك العالم و اجيك ~ صرت اشوفك كل شي بالنسبہ ليّ .. حيل   من الدنيا عليك ، وانت ؟ مو   من غيابك عليّ…",fear
بالرغم من محاولاتك الفاشلة في دس حزنك. انا اعيشه معاك. بس من بعيد. من وراك. وعشانك تحب تظهر قوي طول الوقت.  ة.,sad
بس   ان الناس متابعة الدنيا معايا كدا😅,happy
: . مريت سالي ضمير وخاطري رايق الديره اللي وليفي من ضواحيها وعودت و  وخاطري ضايق وتجددت بي جروحن كنت ناسيها. مسا الخير يا عرب,sad
" وحزني اشكال وانواع  طفرانه ووجيه الطفارى عبوسه يارب ، انا عبدك ولاني بـ طماعه  رضاك ، واثنين مليون ، وعريس <USER>",sad
  ... بس بديش اعصب. #مقولة_ممثل_مواطن,anger
<USER>  قوي بجد :(((,disgust
RT <USER> طواني عليك الشوق يالمُترف المملوح  اعاتبك  في  غيبتك و تقول  عاديه    انك حلم عابر تجي وتروح  والاحلام تالي الوقت ماهي …,fear
 جدا و مبعرفش اعمل كنترول على نفسي!,anger
  من الي يقولي :  انت ماتستحي على وجهك😐  ياحبيبي انا عايش طول عمري  مع وجهي وتبيني استحي  منه ليش 😜😜😜,surprise
