tweet,label,clean_tweet,clean_tweet_no_stop,clean_tweet_lemitized,clean_tweet_stemmed,lexicon_score_anger,lexicon_score_fear,lexicon_score_joy,lexicon_score_sadness
النهارده كنت قاعد في البيت مرعوب من صوت جمهور الدرجة الثانية,fear,النهارده كنت قاعد في البيت مرعوب من صوت جمهور الدرجة الثانية,النهارده كنت قاعد  البيت مرعوب  صوت جمهور الدرجة الثانية,النهارده كنت قاعد البيت مرعوب صوت جمهور الدرجة الثانية,هرد كنت قعد بيت رعب صوت جمهور درج ثني,0.75,0.9229999999999999,0.0,0.7190000000000001
@JeddahAmanah اول مره اشوف حديقه وسط طرق سريعه \nلا مواقف سيارات وكمان فيه خطوره على الاطفال ..!!,fear, اول مره اشوف حديقه وسط طرق سريعه لا مواقف سيارات وكمان فيه خطوره على الاطفال , اول مره اشوف حديقه وسط طرق سريعه  مواقف سيارات وكمان  خطوره  الاطفال ,اول مره اشوف حديقه وسط طرق سريعه مواقف سيارات وكمان خطوره الاطفال,اول مره اشف حدق وسط طرق سرع وقف سير وكم خطر طفل,0.0,1.294,0.515,1.016
الشوق غصة وارتجافة واختناق ما لي معه حيلة ولا لي فيه حيل *,fear,الشوق غصة وارتجافة واختناق ما لي معه حيلة ولا لي فيه حيل ,الشوق غصة وارتجافة واختناق   معه حيلة    حيل ,الشوق غصة وارتجافة واختناق معه حيلة حيل,شوق غصة وارتجافة خنق معه حيل حيل,0.8590000000000001,0.75,0.0,1.297
عندي فوبيا من انواع منهم بس بس متأكد ال بيحب تربيتهم يحس ال بتقولي عليه أكتر طبعا وأن في بشر مش محصلين كلاب حتى 😃 👌,fear,عندي فوبيا من انواع منهم بس بس متأكد ال بيحب تربيتهم يحس ال بتقولي عليه أكتر طبعا وأن في بشر مش محصلين كلاب حتى  ,عندي فوبيا  انواع منهم   متأكد ال بيحب تربيتهم يحس ال بتقولي  أكتر طبعا وأن  بشر مش محصلين كلاب   ,عندي فوبيا انواع منهم متأكد ال بيحب تربيتهم يحس ال بتقولي أكتر طبعا وأن بشر مش محصلين كلاب,عند فوب واع نهم تأكد ال يحب ربت يحس ال تقل كتر طبع وأن بشر مش حصل كلب,0.429,0.484,0.0,0.391
ارفع رجولك لما تمشي عيب عليك تجرها #ضوضاء #ازعاج_سمعي #قلق,fear,ارفع رجولك لما تمشي عيب عليك تجرها  ضوضاء  ازعاجسمعي  قلق,ارفع رجولك  تمشي عيب  تجرها  ضوضاء  ازعاجسمعي  قلق,ارفع رجولك تمشي عيب تجرها ضوضاء ازعاجسمعي قلق,رفع رجل تمش عيب تجر ضوضاء ازعاجسمعي قلق,0.136,1.032,0.723,0.988
ستة #مخاوف تحفز التفكير #السلبي : الخوف من #الفقر الخوف من #النقد الخوف من #المرض الخوف من #الوحدة الخوف من #الشيخوخة الخوف من #الموت,fear,ستة  مخاوف تحفز التفكير  السلبي  الخوف من  الفقر الخوف من  النقد الخوف من  المرض الخوف من  الوحدة الخوف من  الشيخوخة الخوف من  الموت,  مخاوف تحفز التفكير  السلبي  الخوف   الفقر الخوف   النقد الخوف   المرض الخوف   الوحدة الخوف   الشيخوخة الخوف   الموت,مخاوف تحفز التفكير السلبي الخوف الفقر الخوف النقد الخوف المرض الخوف الوحدة الخوف الشيخوخة الخوف الموت,خاف حفز فكر سلب خوف فقر خوف نقد خوف مرض خوف وحد خوف شيخوخ خوف موت,4.402,6.656000000000001,0.0,2.493
@Lemo24398079 مش انسان اللى يعمل كدا  مناظر مروعه للاطفال,fear, مش انسان اللى يعمل كدا  مناظر مروعه للاطفال, مش انسان اللى يعمل كدا  مناظر مروعه للاطفال,مش انسان اللى يعمل كدا مناظر مروعه للاطفال,مش انس للى عمل كدا نظر روع طفل,0.0,0.0,0.812,0.0
طول ما عندك فوبيا من الخوف من النتيجة عمرك ما هتبقي ايجابي ولا هتعرف تعمل حاجة تسعدك والندم دا من متع الحياه لو مفيش ندم,fear,طول ما عندك فوبيا من الخوف من النتيجة عمرك ما هتبقي ايجابي ولا هتعرف تعمل حاجة تسعدك والندم دا من متع الحياه لو مفيش ندم,طول  عندك فوبيا  الخوف  النتيجة عمرك  هتبقي ايجابي  هتعرف تعمل حاجة تسعدك والندم دا  متع الحياه  مفيش ندم,طول عندك فوبيا الخوف النتيجة عمرك هتبقي ايجابي هتعرف تعمل حاجة تسعدك والندم دا متع الحياه مفيش ندم,طول عند فوب خوف نتج عمر هتبق يجب هتعرف عمل حجة سعد ندم دا متع حيه فيش ندم,0.5,1.205,0.297,1.532
من مقاصد سورة الدخان: الإنذار بالعذاب المرتقب من خلال تخويف المكذبين من عذاب الدنيا والآخرة - المختصر في تفسير القرآن الكريم,fear,من مقاصد سورة الدخان الإنذار بالعذاب المرتقب من خلال تخويف المكذبين من عذاب الدنيا والآخرة  المختصر في تفسير القرآن الكريم, مقاصد سورة الدخان الإنذار بالعذاب المرتقب  خلال تخويف المكذبين  عذاب الدنيا والآخرة  المختصر  تفسير القرآن الكريم,مقاصد سورة الدخان الإنذار بالعذاب المرتقب خلال تخويف المكذبين عذاب الدنيا والآخرة المختصر تفسير القرآن الكريم,قصد سور دخن ذار عذب رقب خلل خوف كذب عذب دنا اخر خصر فسر قرآ كرم,1.9100000000000001,0.828,0.0,0.0
الأنا خايف منو وبقرض في أضافري من التوتر إنو البيتكوين يبقى بعد شوية من متطلبات الشيلة والله إلا نجعر,fear,الأنا خايف منو وبقرض في أضافري من التوتر إنو البيتكوين يبقى بعد شوية من متطلبات الشيلة والله إلا نجعر,الأنا خايف منو وبقرض  أضافري  التوتر إنو البيتكوين يبقى  شوية  متطلبات الشيلة والله  نجعر,الأنا خايف منو وبقرض أضافري التوتر إنو البيتكوين يبقى شوية متطلبات الشيلة والله نجعر,انا خيف منو قرض ضفر وتر انو تكو بقى شوة تطلب شيل ولل جعر,0.0,0.0,0.0,0.0
انا اخاف كثير من الحيوانات بس احبها من بعيد لبعيد ودي اقدر اشيلها بدون خوف واعتني فيها هل فيه احد عنده حل خصوصا ان ودي ودي بس فيني رهبة,fear,انا اخاف كثير من الحيوانات بس احبها من بعيد لبعيد ودي اقدر اشيلها بدون خوف واعتني فيها هل فيه احد عنده حل خصوصا ان ودي ودي بس فيني رهبة,انا اخاف كثير  الحيوانات  احبها  بعيد لبعيد ودي اقدر اشيلها بدون خوف واعتني    احد عنده حل خصوصا ان ودي ودي  فيني رهبة,انا اخاف كثير الحيوانات احبها بعيد لبعيد ودي اقدر اشيلها بدون خوف واعتني احد عنده حل خصوصا ان ودي ودي فيني رهبة,انا اخف كثر حيو احب بعد بعد ودي قدر اشل بدن خوف وعت احد عند حل خصص ان ودي ودي فين رهب,1.218,2.057,0.5640000000000001,1.9209999999999998
ضعيفه انا قدام تعب جدتي ودموعها والله ضعيفه وجدا,fear,ضعيفه انا قدام تعب جدتي ودموعها والله ضعيفه وجدا,ضعيفه انا قدام تعب جدتي ودموعها والله ضعيفه وجدا,ضعيفه انا قدام تعب جدتي ودموعها والله ضعيفه وجدا,ضعف انا قدم تعب جدت دمع ولل ضعف وجد,0.0,0.0,0.0,1.032
لا ي هيام والله قلبي مش مستحمل كميه الوجع ده هنفضل لحد امتي بيروح منا ناس ملهمش سبب هنفضل لحد امتى عايشين في :/ خوف وذعر,fear,لا ي هيام والله قلبي مش مستحمل كميه الوجع ده هنفضل لحد امتي بيروح منا ناس ملهمش سبب هنفضل لحد امتى عايشين في  خوف وذعر,  هيام والله قلبي مش مستحمل كميه الوجع ده هنفضل لحد امتي بيروح منا ناس ملهمش سبب هنفضل لحد امتى عايشين   خوف وذعر,هيام والله قلبي مش مستحمل كميه الوجع ده هنفضل لحد امتي بيروح منا ناس ملهمش سبب هنفضل لحد امتى عايشين خوف وذعر,هيم ولل قلب مش حمل كمه وجع ده هنفضل لحد امت يرح منا ناس لهمش سبب هنفضل لحد متى عيش خوف ذعر,1.092,1.781,0.547,0.531
اقدر اجزم ان ثلاث ارباعكم ما جرب شعور الكآبة والاغلبية آخذينها من باب الكشخه قرف يع,fear,اقدر اجزم ان ثلاث ارباعكم ما جرب شعور الكآبة والاغلبية آخذينها من باب الكشخه قرف يع,اقدر اجزم ان  ارباعكم  جرب شعور الكآبة والاغلبية آخذينها  باب الكشخه قرف يع,اقدر اجزم ان ارباعكم جرب شعور الكآبة والاغلبية آخذينها باب الكشخه قرف يع,قدر جزم ان ربع جرب شعر كآب غلب اخذ باب كشخ قرف يع,0.602,0.406,0.0,0.531
كعادة المصريين على مر التاريخ مصابون بالهلع و الخوف من المجاعات هم أكثر الناس استفادة من النيل يحبون الشكوى دوما,fear,كعادة المصريين على مر التاريخ مصابون بالهلع و الخوف من المجاعات هم أكثر الناس استفادة من النيل يحبون الشكوى دوما,كعادة المصريين  مر التاريخ مصابون بالهلع  الخوف  المجاعات   الناس استفادة  النيل يحبون الشكوى دوما,كعادة المصريين مر التاريخ مصابون بالهلع الخوف المجاعات الناس استفادة النيل يحبون الشكوى دوما,كعد صري مر ارخ صاب هلع خوف جاع ناس فاد نيل يحب شكى دوم,0.5,1.5779999999999998,0.0,0.0
ودي اعلمك ب همومي ولكني اخاف اعلمك فيها ما تقدرها #أخاف,fear,ودي اعلمك ب همومي ولكني اخاف اعلمك فيها ما تقدرها  أخاف,ودي اعلمك  همومي ولكني اخاف اعلمك   تقدرها  أخاف,ودي اعلمك همومي ولكني اخاف اعلمك تقدرها أخاف,ودي علم همم ولك اخف علم قدر اخف,0.0,0.09699999999999999,0.612,0.307
طبيعي بعد اللي وصلتله و شوفته من حياتي اني ابقي خايف و مش واثق في اي شخص بيحاول يقرب مني,fear,طبيعي بعد اللي وصلتله و شوفته من حياتي اني ابقي خايف و مش واثق في اي شخص بيحاول يقرب مني,طبيعي  اللي وصلتله  شوفته  حياتي اني ابقي خايف  مش واثق  اي شخص بيحاول يقرب مني,طبيعي اللي وصلتله شوفته حياتي اني ابقي خايف مش واثق اي شخص بيحاول يقرب مني,طبع الل صلتل شوف حيت اني ابق خيف مش وثق اي شخص حول قرب مني,0.0,0.0,0.552,0.0
#كابوس ثورات الربيع العربي والهزيمة النفسية,fear, كابوس ثورات الربيع العربي والهزيمة النفسية, كابوس ثورات الربيع العربي والهزيمة النفسية,كابوس ثورات الربيع العربي والهزيمة النفسية,كبس ثور ربع عرب هزم نفس,0.0,0.0,0.0,0.75
مر على فقيدتي سنين و ما زالت تلك الصدمة تأسرني و مازال فقدانها جرح لا يبرأ 🍂 💔,fear,مر على فقيدتي سنين و ما زالت تلك الصدمة تأسرني و مازال فقدانها جرح لا يبرأ  ,مر  فقيدتي سنين   زالت  الصدمة تأسرني   فقدانها جرح  يبرأ  ,مر فقيدتي سنين زالت الصدمة تأسرني فقدانها جرح يبرأ,مر فقد سنن زلت صدم أسر فقد جرح برأ,0.636,0.688,0.6559999999999999,1.282
هل تجرؤ الدول المقاطعة لقطر إتاحة الفرصة لشعوبها بالتعبير التام عن ما يحدث دون خوف وترهيب أو تهديد بالسجن أو نشر للجان الإلكترونية قطعا لا,fear,هل تجرؤ الدول المقاطعة لقطر إتاحة الفرصة لشعوبها بالتعبير التام عن ما يحدث دون خوف وترهيب أو تهديد بالسجن أو نشر للجان الإلكترونية قطعا لا, تجرؤ الدول المقاطعة لقطر إتاحة الفرصة لشعوبها بالتعبير التام   يحدث  خوف وترهيب  تهديد بالسجن  نشر للجان الإلكترونية قطعا ,تجرؤ الدول المقاطعة لقطر إتاحة الفرصة لشعوبها بالتعبير التام يحدث خوف وترهيب تهديد بالسجن نشر للجان الإلكترونية قطعا,جرؤ دول قطع قطر تحة فرص شعب عبر تام حدث خوف رهب هدد سجن نشر جان الكترونية قطع,2.9759999999999995,3.28,0.0,1.516
وفي اول يوم رمضان النضاره اتكسرت وده نذير شؤم عن امتحانات بعد بكره 🤓🤓,fear,وفي اول يوم رمضان النضاره اتكسرت وده نذير شؤم عن امتحانات بعد بكره ,وفي اول يوم رمضان النضاره اتكسرت وده نذير شؤم  امتحانات  بكره ,وفي اول يوم رمضان النضاره اتكسرت وده نذير شؤم امتحانات بكره,وفي اول يوم رمض نضر كسر وده نذر شؤم محن بكر,0.0,0.0,0.913,0.0
