كلمة, PFA,الفئة
وفرة,0.83,فرح
إنهاء,0.396,فرح
الصمت,0.198,فرح
يلتزم,0.198,فرح
عمل,0.397,فرح
مقبول,0.594,فرح
قبول,0.696,فرح
حافز,0.429,فرح
هتاف,0.799,فرح
هتاف,0.799,فرح
مريح,0.83,فرح
تعانق,0.729,فرح
بشكل مريح,0.729,فرح
حافز,0.264,فرح
مجتهد,0.232,فرح
تأقلم,0.331,فرح
مدمن,0.429,فرح
رائع,0.764,فرح
بشكل مثير للإعجاب,0.765,فرح
إعجاب,0.765,فرح
لنعجب,0.731,فرح
ليعترف,0.53,فرح
محبوب,0.898,فرح
بديع,0.865,فرح
عبادة,0.765,فرح
العاشق,0.664,فرح
لأعشق,0.764,فرح
لطيف,0.696,فرح
رغبه قويه,0.764,فرح
عاطفي,0.864,فرح
تتأثر,0.899,فرح
بمودة,0.966,فرح
حنونة,0.932,فرح
حنونة,0.898,فرح
حماسة,0.731,فرح
هواية,0.729,فرح
معجب,0.595,فرح
لحسن الحظ,0.831,فرح
سعيد الحظ,0.932,فرح
لطيف,0.899,فرح
رجاء,0.798,فرح
أن أشكر,0.763,فرح
ممتن,0.764,فرح
حدة,0.331,فرح
شحذ,0.199,فرح
رغبه قويه,0.73,فرح
طفح الكيل,0.564,فرح
جيد التهوية,0.565,فرح
مديح,0.53,فرح
ابتهج,0.899,فرح
الفرح,0.899,فرح
فرح,0.966,فرح
مرح,1,فرح
بسعادة,1,فرح
الفرح,1,فرح
التشجيع,0.73,فرح
يخفف,0.763,فرح
ارتياح,0.763,فرح
لكي تصل,0.364,فرح
الروح,0.397,فرح
متغطرس,0.132,فرح
الإيثار,0.529,فرح
رفع,0.298,فرح
اللطف,0.728,فرح
لطيف,0.762,فرح
يرجى,0.762,فرح
حبيب,0.731,فرح
يحب,0.899,فرح
أحبك,0.966,فرح
احبك,0.731,فرح
محب,0.764,فرح
غرامي,0.832,فرح
طموح,0.429,فرح
طموح,0.363,فرح
الود,0.898,فرح
ودود,0.898,فرح
حبيا,0.864,فرح
صديق,0.898,فرح
صداقة,0.966,فرح
ودود,0.898,فرح
ودود,0.966,فرح
حب,0.966,فرح
بمحبة,0.932,فرح
شغف,0.898,فرح
محب,0.898,فرح
تميمة,0.398,فرح
انا طويل,0.297,فرح
حيوية,0.562,فرح
مفعم بالحيوية,0.865,فرح
التشجيع,0.797,فرح
ابتهج,0.864,فرح
لعبه,0.83,فرح
توقع,0.231,فرح
يسترضى,0.298,فرح
بحماس,0.663,فرح
شغف,0.696,فرح
مثير,0.798,فرح
المرفق,0.597,فرح
يريد بشدة,0.363,فرح
صفق,0.797,فرح
تصفيق,0.763,فرح
لتقدير,0.629,فرح
موافقة,0.596,فرح
يوافق,0.664,فرح
الموافقة,0.732,فرح
ما يزال,0.165,فرح
احتراق,0.33,فرح
احتراق,0.265,فرح
انسجام,0.864,فرح
الإصلاح,0.33,فرح
نشوة الطرب,0.631,فرح
جرأة,0.363,فرح
دهشة,0.396,فرح
جاذبية,0.663,فرح
ملفت للانتباه,0.696,فرح
جذب,0.631,فرح
ملفت للانتباه,0.53,فرح
بشكل جذاب,0.497,فرح
الرضا عن النفس,0.63,فرح
تفويض,0.397,فرح
احترام الذات,0.598,فرح
الرضا عن النفس,0.798,فرح
راضية عن النفس,0.796,فرح
الاكتفاء الذاتي,0.764,فرح
متعطشا,0.198,فرح
وقود,0.33,فرح
فاعل خير,0.562,فرح
الاعمال الخيرية,0.596,فرح
استفاد,0.83,فرح
فائدة,0.729,فرح
فائدة,0.898,فرح
مفيد,0.797,فرح
مفيد,0.864,فرح
مفيد,0.831,فرح
موافقة,0.564,فرح
بإحسان,0.462,فرح
الإحسان,0.462,فرح
خير,0.528,فرح
خير,0.495,فرح
يرجى,0.465,فرح
حميدة,0.465,فرح
حسن,0.798,فرح
الرفاه,0.765,فرح
مبارك,0.831,فرح
غبطة,0.63,فرح
العافية,0.932,فرح
فاعل خير,0.695,فرح
محبوب,0.729,فرح
تريد جيدا,0.762,فرح
بيزبيروندو,0.899,فرح
ناعم,0.198,فرح
نعومة,0.132,فرح
صلاح,0.696,فرح
يرجى,0.696,فرح
طيب القلب,0.763,فرح
bonhomie,0.462,فرح
سباركلي,0.663,فرح
حيوية,0.463,فرح
حية,0.463,فرح
للتنكيت,0.831,فرح
جيد,0.898,فرح
مشاكس,0.664,فرح
صاخبة,0.664,فرح
السخرية,0.364,فرح
يتغلب ببراعة,0.431,فرح
بالضبط,0.264,فرح
الدفء,0.628,فرح
دافئ,0.43,فرح
الحار,0.264,فرح
هدأت,0.231,فرح
الحار,0.099,فرح
بحرارة,0.365,فرح
الصداقة الحميمة,0.63,فرح
سعيدة,0.529,فرح
يأسر,0.43,فرح
إلتقاط,0.099,فرح
يضحك,0.932,فرح
الاعمال الخيرية,0.63,فرح
الحبيبة,0.864,فرح
بمحبة,0.764,فرح
حنونة,0.83,فرح
الخيرية,0.63,فرح
آسر,0.628,فرح
آسر,0.595,فرح
يأسر,0.562,فرح
احتفل,0.933,فرح
حماسة,0.132,فرح
بغيرة,0.066,فرح
غيور,0.033,فرح
يتصرف بحماقة,0.698,فرح
نكتة,0.598,فرح
شوت,0.665,فرح
شوتو,0.564,فرح
الغش,0.629,فرح
الرحمن,0.264,فرح
اللعنة,0.199,فرح
قلب,0.066,فرح
ملء,0.165,فرح
هائلة,0.463,فرح
بشكل مريح,0.629,فرح
راحة,0.662,فرح
مريح,0.695,فرح
الزمالة,0.73,فرح
تعاطف,0.364,فرح
حنون,0.43,فرح
التوافق,0.496,فرح
متوافق,0.462,فرح
متوافق,0.363,فرح
تعويضات,0.331,فرح
الرضا عن النفس,0.629,فرح
رجاء,0.73,فرح
مقبول,0.595,فرح
مسرور,0.864,فرح
استيعاب,0.73,فرح
شاملة,0.562,فرح
الاهتمام,0.066,فرح
احتقر,0.363,فرح
تنازلي,0.396,فرح
توابل,0.099,فرح
تعزية,0.132,فرح
موثوق به,0.297,فرح
التأكيد,0.363,فرح
تؤكد,0.363,فرح
راحة,0.596,فرح
مريح,0.663,فرح
بشكل مريح,0.595,فرح
راحة,0.529,فرح
المعزي,0.496,فرح
لترتاح,0.529,فرح
الزمالة,0.73,فرح
اركب,0.628,فرح
تهنئة,0.594,فرح
تهنئة,0.731,فرح
رثاء,0.066,فرح
نقل,0.165,فرح
غزو,0.463,فرح
إجماع,0.33,فرح
موافقة,0.396,فرح
الاعتبار,0.396,فرح
لاعتبار,0.396,فرح
