كلمة, PFA,الفئة
غضب,0.964,غضب
وحشية,0.959,غضب
كراهية,0.953,غضب
بغيض,0.94,غضب
إرهاب,0.939,غضب
بعنف,0.938,غضب
غضب,0.938,غضب
غاضب,0.929,غضب
غاضب,0.927,غضب
بشراسة,0.927,غضب
NO TRANSLATION,0.924,غضب
قاتل,0.922,غضب
غضب شديد,0.922,غضب
تنفيذ,0.917,غضب
أغضب,0.916,غضب
الوحشية,0.915,غضب
ذبح,0.914,غضب
NO TRANSLATION,0.913,غضب
fuckoff,0.912,غضب
إبادة,0.912,غضب
اغتيال,0.912,غضب
غضب,0.911,غضب
أبغض,0.909,غضب
NO TRANSLATION,0.906,غضب
اللعن,0.906,غضب
fucktard,0.906,غضب
قتلي,0.906,غضب
فضيحة,0.9,غضب
عدائي,0.898,غضب
محق,0.898,غضب
قتل,0.897,غضب
تحتدم,0.896,غضب
منتقم,0.894,غضب
اغتصاب,0.894,غضب
متوحش,0.894,غضب
سكران,0.894,غضب
طمس,0.894,غضب
يغضب,0.894,غضب
NO TRANSLATION,0.894,غضب
مادة متفجرة,0.894,غضب
قتل,0.893,غضب
مستعد للقتال,0.891,غضب
gofuckyourself,0.886,غضب
انتقام,0.886,غضب
عذاب,0.885,غضب
غيظ,0.885,غضب
وحشي,0.884,غضب
مذبحة,0.882,غضب
مهدد,0.882,غضب
اغرب عن وجهي,0.875,غضب
مكروه,0.875,غضب
سفاح,0.875,غضب
قتال,0.868,غضب
يباد,0.865,غضب
مهاجمة,0.865,غضب
الأكثر غضبا,0.864,غضب
إراقة الدماء,0.864,غضب
فتن,0.862,غضب
شجار,0.861,غضب
الاعتداءات,0.859,غضب
خبيث,0.859,غضب
خنق,0.859,غضب
خطبة مسهبة عنيفة,0.859,غضب
ينفجر,0.859,غضب
اغتيال,0.859,غضب
عداء,0.859,غضب
كريه,0.857,غضب
الجحيم,0.853,غضب
قاتل,0.853,غضب
هجوم,0.853,غضب
NO TRANSLATION,0.852,غضب
إرهاب,0.851,غضب
الضرب,0.849,غضب
تدنيس,0.848,غضب
pissingmeoff,0.848,غضب
غضب,0.848,غضب
طعنة,0.844,غضب
ذبح,0.844,غضب
عنيف,0.844,غضب
تدمير,0.844,غضب
"رجس - مقت شديد، عمل بغيض",0.844,غضب
مشاغب,0.844,غضب
غاضب,0.844,غضب
غضب,0.844,غضب
طمس,0.843,غضب
محارب,0.841,غضب
NO TRANSLATION,0.841,غضب
أبغض,0.838,غضب
قتال,0.837,غضب
وخزة,0.835,غضب
تعذيب,0.833,غضب
مصاب بداء الكلب,0.833,غضب
فظيع,0.833,غضب
ثورة,0.833,غضب
قسوة,0.833,غضب
اكرهه,0.828,غضب
